step,total,correctness,format,style
31,0.3756876315822453,0.0283354859566316,0.3541375,0.7338148429989815
32,0.4000966952548921,0.040488542756065726,0.3541375,0.7826844453811646
33,0.37614743850458415,0.014037811022717506,0.3333,0.7596807852387428
34,0.3958407421962917,0.04993404704146087,0.3541375,0.7625990584492683
35,0.37770693680819123,0.03486087912460789,0.37497499999999995,0.7219189628958702
36,0.3781884401457757,0.01478824473451823,0.3333,0.764032855629921
37,0.2818628373689577,0.020302443008404225,0.3541375,0.50728590041399
38,0.30298148402094843,0.054764701053500175,0.37497499999999995,0.5152015089988708
39,0.39304593218714,0.04349379846826196,0.3958125,0.741214781999588
40,0.38448919161912054,0.027881317713763565,0.39581249999999996,0.7354354113340378
41,0.3841489883026481,0.032240939792245626,0.3333,0.7614815309643745
42,0.40237509579479697,0.026591618545353413,0.37497499999999995,0.791858620941639
43,0.4103977898749337,0.07014142762636766,0.37497499999999995,0.7683655470609665
44,0.3946958619536459,0.035654241451993585,0.3541375,0.7740166634321213
45,0.38812849653784187,0.023948738409671932,0.41664999999999996,0.7380475029349327
46,0.2504944243016839,0.026525104884058237,0.5208375,0.3392922058701515
47,0.39583178487546744,0.038749640923924744,0.3541375,0.7737610712647438
48,0.3831838153203577,0.043661053641699255,0.3541375,0.737229734659195
49,0.40023503763966267,0.03943297534715384,0.41664999999999996,0.7528296187520027
50,0.37049147418033335,0.01333205698756501,0.3333,0.7462466284632683
51,0.3142058137253672,0.017084835679270327,0.37497499999999995,0.5809421986341476
52,0.37678301822334526,0.019491555634886026,0.3541375,0.7453972399234772
53,0.28799447760716085,0.054336739936843514,0.3333,0.4989994540810585
54,0.3262787019036338,0.012964828580152243,0.3541375,0.6256631761789322
55,0.34693005405165256,0.0018408946925774217,0.3333,0.698834240436554
56,0.42476360974267124,0.017721618758514524,0.41664999999999996,0.8358624055981636
57,0.37714125778749585,0.009720978559926152,0.3958125,0.7352259159088135
58,0.41781448615979405,0.07161358947632834,0.3333,0.8062726259231567
59,0.3530343731343001,0.038333672913722694,0.41664999999999996,0.6359272599220276
60,0.3963566034481674,0.012908322387374938,0.37497499999999995,0.7904956862330437
61,0.2843069825017825,0.014993934950325638,0.3958125,0.49786727130413055
62,0.38504986017376186,0.006413260940462351,0.41664999999999996,0.7478863894939423
63,0.3922370269372314,0.029366346425376832,0.41664999999999996,0.7429012209177017
64,0.4046295674679801,0.047417356341611594,0.3958125,0.7662503123283386
65,0.41410780851304535,0.026385500095784664,0.4374875,0.7901402711868286
66,0.40935153471387925,0.026509225950576365,0.37497499999999995,0.8093821108341217
67,0.38260117565900087,0.019864384550601244,0.41664375,0.7283166795969009
68,0.3733970814779401,0.0031210598535835743,0.3958125,0.7324653938412666
69,0.38871848005093634,0.0295622335979715,0.3958125,0.7443277165293694
70,0.40099768635433164,0.011329313449095935,0.37497499999999995,0.8036774024367332
71,0.2733087787771225,0.008440613746643066,0.3541375,0.4977625831961632
72,0.4040778143697977,0.04031823668628931,0.3541375,0.792807549238205
73,0.4181974405323714,0.015748355421237648,0.3541375,0.8526764959096909
74,0.38723205550938844,0.026152667123824358,0.41664999999999996,0.7336024716496468
75,0.3719521962472796,0.008805427234619856,0.3541375,0.7440063133835793
76,0.3871016921157762,0.06403265724657103,0.37497499999999995,0.7162340730428696
77,0.303935668002218,0.028473069658502936,0.3541375,0.5542973503470421
78,0.39442389173656706,0.05396228516474366,0.39581249999999996,0.7341911941766739
79,0.36877969483785333,0.012338829110376537,0.3541375,0.7325416579842567
80,0.3876628782077879,0.03148375207092613,0.41664999999999996,0.7293484434485435
81,0.40060866267461326,0.056758829683531076,0.43748750000000003,0.7260190770030022
82,0.3757182374497503,0.017794811516068876,0.3541375,0.7444320321083069
83,0.40224573811598124,0.04449427418876439,0.37497499999999995,0.7736325711011887
84,0.21776309757858514,0.031434471253305674,0.41664999999999996,0.3046482726931572
85,0.39584283888421956,0.025332651450298727,0.37497499999999995,0.7767869457602501
86,0.37379214744165545,0.020481062354519963,0.37497499999999995,0.7265118062496185
87,0.3773344623654894,0.012498939846409485,0.37497499999999995,0.7433497160673141
88,0.19761205007828772,0.005569195956923068,0.4374875,0.26971717923879623
89,0.3794140105720982,0.038114978407975286,0.3333,0.7437700480222702
90,0.4168906394758821,0.03890270600095391,0.3541375,0.8262551426887512
91,0.3068491205255315,0.01695918448967859,0.37497499999999995,0.5626761168241501
92,0.42573432940140365,0.038115119794383645,0.37497499999999995,0.8387332037091255
93,0.36196710517428815,0.03411573765333742,0.3333,0.704152025282383
94,0.3135130961354822,0.04901087598409504,0.39581249999999996,0.5368656143546104
95,0.3623599004352838,0.02988206606823951,0.3333,0.7093676850199699
96,0.3876399811709672,0.045392777887173,0.3333,0.7570571750402451
97,0.37815462191812693,0.05629741575103253,0.3958125,0.6911828890442848
98,0.38761693880833686,0.04352976253721863,0.3541375,0.7484438344836235
99,0.4035427975383401,0.01299982750788331,0.37497499999999995,0.8083696663379669
100,0.37713912566415964,0.012416126090101898,0.3958125,0.7325254380702972
101,0.3948714184228703,0.033355304680299014,0.3333,0.7871732413768768
102,0.2514599047996104,0.0592768678907305,0.39581249999999996,0.37146664410829544
103,0.3021543837751821,0.011598996177781373,0.3541375,0.5667182132601738
104,0.40279928369013596,0.04268296339432709,0.3333,0.7976652458310127
105,0.3572671720658988,0.014093994977883995,0.3541375,0.702005185186863
106,0.23301898696541784,0.03744562156498432,0.37497499999999995,0.35761434584856033
107,0.37396503550872207,0.023885549744591117,0.3541375,0.733958289027214
108,0.33859133258543905,0.02158019074704498,0.37497499999999995,0.6374106407165527
109,0.36881903867501764,0.024417930573690683,0.3333,0.7309796661138535
110,0.4162815241975338,0.014875193242914975,0.3541375,0.8487598672509193
111,0.38893310584999624,0.055081905447877944,0.3541375,0.7401821091771126
112,0.3675053771239146,0.006900582404341549,0.3333,0.7452128604054451
113,0.4176258280336857,0.07032831944525242,0.3958125,0.7758300006389618
114,0.3849610709486157,0.02637928316835314,0.3541375,0.758954644203186
115,0.3840466572324187,0.03269079385790974,0.3333,0.7607758492231369
116,0.3059170458832383,0.022368526551872492,0.3541375,0.5653553381562233
117,0.3803163815698773,0.01498520711902529,0.41664999999999996,0.7274807468056679
118,0.36893595996111633,0.048722806852310896,0.3333,0.7069670930504799
119,0.3862501903803647,0.019261935027316213,0.3541375,0.7692947909235954
120,0.3958496497365087,0.0454177571227774,0.3333,0.7775563672184944
121,0.3723117291129753,0.0073014620575122535,0.3541375,0.746409110724926
122,0.3685838694352284,0.008474361209664494,0.3541375,0.7359165623784065
123,0.40654877339430157,0.005942645599134266,0.3541375,0.8333605378866196
124,0.24155104716349396,0.028324102808255702,0.4374875,0.3568097651004791
125,0.3817847299304605,0.03245539451017976,0.37497499999999995,0.7345189303159714
